"id","beeld","link","alt","dames","heren","junior","gadgets1","gadgets2","bike","travel","winter","hoofdcategorie"
189,"MAN_BOS_GROEP_nl",NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,1
194,"GREAT_OUTDOORS_VROUW_nl",NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
195,"PYJAMA_VROUW_nl",NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
191,"SNEEW_DAMES_OVERVIEW_nl","/ski-snowboard/kleding?&flt_type_gender=dames&filters=type_gender|LIST",NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,2,4
205,"SNEEW_HEREN_OVERVIEW_nl","/ski-snowboard/kleding?&flt_type_gender=heren&filters=type_gender|LIST",NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,1,5
196,"SNOW_KIDS_nl",NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,3,6
198,"KADO_MAN_nl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,7
183,"KERST_BAL_nl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8
199,"KADO_FAMILIE_nl",NULL,NULL,NULL,6,3,1,2,NULL,NULL,NULL,9
200,"MAN_VUUR_nl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10
202,"VROUW_AUTO_nl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11
203,"VROUW_SNEEUW_nl",NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12
201,"LAND_DORP_nl",NULL,NULL,4,3,4,NULL,4,1,1,NULL,13
181,"VROUW_PELS_KAP_nl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19
182,"MAN_HURK.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20
184,"KERST_KADO.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,40
185,"MAN_PYJAMA.jpg",NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,50
186,"VROUW_KIND_PYJAMA_LACH.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60
187,"VROUW_KIND_PYJAMA.jpg",NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,70
188,"FAMILIE_BBQ.jpg",NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,80
190,"KIND_SNEEUW.jpg",NULL,NULL,NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,100
197,"BOOM_BAL.jpg",NULL,NULL,NULL,NULL,NULL,NULL,1,2,NULL,NULL,100
204,"MAN_FIRE.jpg",NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,100
192,"SNEEW_HEREN_OVERVIEW_nl","/ski-snowboard/kleding?&flt_type_gender=heren&filters=type_gender|LIST",NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,4,120
193,"SNEEW_KIDS_OVERVIEW_nl","/ski-snowboard/kleding?&flt_type_gender=jongens,meisjes,junior&filters=type_gender|LIST",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,130
