id,"productnaam","productomschrijving","img","link","specialeactie"
1,"Merino Hiker","Chaussettes hommes","BRIDGEDALE_MERINO_3411d40002_7272_01.jpg","/index.cfm/fuseaction/products.search/?searchvalue=chaussette+merino+hiker","2 + 1 Gratis"
2,"Merino Hiker","Chaussettes femmes","BRIDGEDALE_MERINO-HIKER_3211D52003_7390.jpg","/index.cfm/fuseaction/products.search/?searchvalue=chaussette+merino+hiker","2 + 1 Gratis"
3,"Trailrider Texapore","Chaussures femmes","JACK-WOLFSKIN_TRAILRIDER-TEXAPORE-WOMEN_3716D52001_6090.jpg","#",""
4,"Trailrider Texapore","Chaussures hommes","JACK-WOLFSKIN_TRAILRIDER-TEXAPORE-MEN_3726D52001_7070.jpg","#",""
5,"Arco","Polaire hommes","2.ONLINE-BANNER1-870x118.png","/jack-wolfskin-polaire-arco-hommes-3321d32016?id_colour=2296",""
6,"Nordfjord","Manteau hommes","JACK_WOLFSKIN_NORDFJORD_3352D52005_4242.jpg","#",""
7,"5th Avenue","Manteau femmes","JACK-WOLFSKIN_5TH-AVENUE_31B3D40003.jpg","/jack-wolfskin-manteau-5th-avenue-3153d42040?id_colour=4168",""
8,"Greta","Manteau femmes","DIDRIKSONS_GRETA_3153D32029_7070.jpg","/didriksons-1913-manteau-greta-3153d52016?id_colour=4168",""
9,"Roverg","Polaire hommes","REGATTA_ROVERG_3324D52028_6262.jpg","#",""
10,"Tevorg","Polaire hommes","REGATTA_TEVORG_3324D52029_7575.jpg","#",""
11,"Lanar","Polaire femmes","REGATTA_LANAR_3124D52020_1212.jpg","#",""
12,"Edge touring","GPS pour v&eacute;lo","edge_touring.jpg","/garmin-gps-edge-touring-2522d32003?id_colour=5806",""
13,"Knitted Nordic","Pull hommes","CMP_KNITTED-NORDIC-PULL_6221D52002_4403.jpg","#",""
14,"Knitted Nordic","Pull femmes","CMP_KNITTED-NORDIG-PULL_6121D52002_3003.jpg","#",""
15,"Janna","&Eacute;charpe femmes","BARTS_JANNA-COL_6514d52007_1144_01_be.jpg","/barts-echarpe-janna-6514d52007?id_colour=374",""
16,"Janna","Bonnet femmes","BARTS_JANNA-MUTS_6515d52021_1144_01_be.jpg","/barts-bonnet-janna-6515d52021?id_colour=374",""
17,"Mike","Bonnet hommes","BARTS_MIKE-BEANIE_6615d52006_4149_01_be.jpg","/barts-bonnet-mike-6615d52006?id_colour=2304",""
18,"Mike","&Eacute;charpe hommes","BARTS_MIKE-SJAAL_6614d52002_4149_01_be.jpg","/barts-echarpe-mike-6614d52002?id_colour=2304",""
19,"Wine","Cup Set","MIZU_WINE-CUP_1421D52001_3232.jpg","/index.cfm/fuseaction/products.search/?searchvalue=mizu+wine+cup+set","2 stuks"
20,"Brasero","","ESSCHERT_VUURKORF_2HB1D52001_7070.jpg","/esschert-gadget-brasero-30x30x40-2hb1d52001?id_colour=4168",""
21,"Bonnet","","CABAIA_TEQUILA-SUNRISE_6615D52050_4031.jpg","#",""
