id;productnaam;productomschrijving;merk;img;link;oudeprijs;nieuweprijs;kleur;specialeactie;exclusief;uitverkocht;dames;heren;junior;fashion;outdoor;uitrusting;fietsenlopen;gadgets;categorie;volgorde;actie;binnenkort
2;Merino Hiker;Heren Kousen;BRIDGEDALE;BRIDGEDALE_MERINO_3411d40002_7272_01.jpg;#;;19,95;3411d40002_6262_01.jpg 3411d40002_7272_01.jpg;;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;outdoor;1;NULL;NULL
3;Merino Hiker;Dames Kousen;BRIDGEDALE;BRIDGEDALE_MERINO-HIKER_3211D52003_7390.jpg;#;;19,95;;;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;outdoor;4;NULL;NULL
4;Trailrider Texapore;Dames schoen;JACK WOLFSKIN;JACK-WOLFSKIN_TRAILRIDER-TEXAPORE-WOMEN_3716D52001_6090.jpg;#;124,95;89;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;outdoor;7;NULL;NULL
5;Trailrider Texapore;Heren schoen;JACK WOLFSKIN;JACK-WOLFSKIN_TRAILRIDER-TEXAPORE-MEN_3726D52001_7070.jpg;#;124,95;89;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;outdoor;10;NULL;NULL
6;Arco;Heren fleece;JACK WOLFSKIN;;#;69,95;39;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;outdoor;13;NULL;NULL
8;Nordfjord;Heren Jas;JACK WOLFSKIN;JACK-WOLFSKIN_NORDFJORD_3352D52005_7070.jpg;#;159,95;119;#0000FF;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;outdoor;16;NULL;NULL
9;5TH Avenue;Dames jas;JACK WOLFSKIN;JACK-WOLFSKIN_5TH-AVENUE_31B3D40003.jpg;#;259,95;179;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;outdoor;19;NULL;NULL
10;Greta;Parka;DIDRIKSONS;DIDRIKSONS_GRETA_3153D32029_7070.jpg;#;329,95;199;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;outdoor;22;NULL;NULL
12;Roverg;Heren fleece;REGATTA;REGATTA_ROVERG_3324D52028_6262.jpg;#;59,95;39;#000000;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;outdoor;25;NULL;NULL
13;Tevorg;Heren fleece;REGATTA;REGATTA_TEVORG_3324D52029_4141.jpg;#;59,95;39;#D7D2CF;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;outdoor;28;NULL;NULL
15;Lanar;Dames fleece;REGATTA;REGATTA_LANAR_3124D52020_1212.jpg;#;59,95;39;#000000 #6C5352;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;outdoor;31;NULL;NULL
18;;OUTDOOR GPS;GARMIN;;#;;;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;reizen;34;NULL;NULL
19;Knitted Nordic;Heren pull;CMP;CMP_KNITTED-NORDIC-PULL_6221D52002_4403.jpg;#;109,95;79;;;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sneeuw;37;NULL;NULL
20;Knitted Nordic;Heren pull;CMP;CMP_KNITTED-NORDIC-PULL_6221D52007_7503.jpg;#;109,95;79;;;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sneeuw;40;NULL;NULL
21;Knitted Nordic;Dames pull;CMP;CMP_KNITTED-NORDIG-PULL_6121D52002_3003.jpg;#;109,95;79;;;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sneeuw;43;NULL;NULL
22;Janna;Dames sjaal;BARTS;BARTS_JANNA-COL_6514d52007_1144_01_be.jpg;#;;34,99;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sneeuw;46;NULL;NULL
23;Janna;Dames muts;BARTS;BARTS_JANNA-MUTS_6515d52021_1144_01_be.jpg;#;;29,99;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sneeuw;49;NULL;NULL
24;Mike;Heren muts;BARTS;BARTS_MIKE-BEANIE_6615d52006_4149_01_be.jpg;#;;24,99;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sneeuw;52;NULL;NULL
25;Mike;Heren sjaal;BARTS;BARTS_MIKE-SJAAL_6614d52002_4149_01_be.jpg;#;;34,99;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sneeuw;55;NULL;NULL
26;Wine;Cup Set;MIZU;MIZU_WINE-CUP_1421D52001_3232.jpg;#;39,95;25;#000000 #ffffff #A49B94;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;reizen;58;NULL;NULL
30;Vuurkorf;;ESSCHERT;ESSCHERT_VUURKORF_2HB1D52001_7070.jpg;#;;35;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;reizen;61;NULL;NULL
31;Muts;;CABA“A;;#;;35;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sneeuw;64;NULL;NULL
32;Nordic;Dames fleece print;CMP;;#;99,95;69;;;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sneeuw;67;NULL;NULL
33;Knitted Nordic;Knitted heren pull;CMP;;#;129,95;99;;;1;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sneeuw;70;NULL;NULL
34;Lurex;Gift set girls;BREKKA;BREKKA_LUREX-GIFT-SET-GIRL_6911D52001.jpg;#;64,9;39;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sneeuw;73;NULL;NULL
35;Lurex;Gift set woman;BREKKA;BREKKA_LUREX-GIFT-SET-WOMEN_6911D52002.jpg;#;74,9;49;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;sneeuw;76;NULL;NULL
36;Party classes XMAS;;DOIY;DOIY_PARTY-GLASSES_2h41d52012_0303__03_be_Ver1.jpg;#;;8,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;reizen;79;NULL;NULL
37;Kerstballen;;AYACUCHO;;#;;14,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;reizen;82;NULL;NULL
38;Kerstballen;;AYACUCHO;;#;;14,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;reizen;85;NULL;NULL
39;Kerstballen;;AYACUCHO;;#;;14,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;reizen;88;NULL;NULL
40;Kerstballen;;AYACUCHO;;#;;14,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;reizen;91;NULL;NULL
41;Kerstballen;;AYACUCHO;;#;;14,95;;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;reizen;94;NULL;NULL
