id;productnaam;productomschrijving;merk;img;link;oudeprijs;nieuweprijs;kleur;specialeactie;exclusief;uitverkocht;dames;heren;junior;gadgets;winter;fashion;outdoor;fietsenlopen;categorie;volgorde;actie;binnenkort;groeneprijs
2;Merino Hiker;Heren Kousen;BRIDGEDALE;BRIDGEDALE_MERINO_3411d40002_7272_01.jpg;;;19,95;3411d40002_6262_01.jpg 3411d40002_7272_01.jpg;;1;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;snow_essentials;1;NULL;NULL;NULL
3;Merino Hiker;Dames Kousen;BRIDGEDALE;BRIDGEDALE_MERINO-HIKER_3211D52003_7390.jpg;;;19,95;;;1;NULL;1;NULL;NULL;NULL;NULL;NULL;1;NULL;snow_essentials;4;NULL;NULL;NULL
4;Trailrider Texapore;Dames schoen;JACK WOLFSKIN;JACK-WOLFSKIN_TRAILRIDER-TEXAPORE-WOMEN_3716D52001_6090.jpg;#;124,95;89;;;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;1;NULL;snow_essentials;7;NULL;NULL;1
5;Trailrider Texapore;Heren schoen;JACK WOLFSKIN;JACK-WOLFSKIN_TRAILRIDER-TEXAPORE-MEN_3726D52001_7070.jpg;#;124,95;89;;;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;snow_essentials;10;NULL;NULL;1
6;Arco;Heren fleece;JACK WOLFSKIN;2.ONLINE-BANNER1-870x118.png;/jack-wolfskin-fleece-arco-3321d32016?id_colour=2296;69,95;39;;;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;snow_essentials;13;NULL;NULL;1
8;Nordfjord;Heren Jas;JACK WOLFSKIN;JACK_WOLFSKIN_NORDFJORD_3352D52005_4242.jpg;#;159,95;119;#000000;;NULL;NULL;NULL;1;NULL;NULL;NULL;1;NULL;NULL;snow_essentials;16;NULL;NULL;1
9;5th Avenue;Dames jas;JACK WOLFSKIN;JACK-WOLFSKIN_5TH-AVENUE_31B3D40003.jpg;/jack-wolfskin-jas-5th-avenue-dames-3153d42040?id_colour=4168;259,95;179;;;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;snow_essentials;19;NULL;NULL;1
10;Greta;Parka;DIDRIKSONS;DIDRIKSONS_GRETA_3153D32029_7070.jpg;#;329,95;199;;;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;NULL;snow_essentials;22;NULL;NULL;1
12;Roverg;Heren fleece;REGATTA;REGATTA_ROVERG_3324D52028_6262.jpg;#;59,95;39;#000000;;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;snow_essentials;25;NULL;NULL;1
13;Tevorg;Heren fleece;REGATTA;REGATTA_TEVORG_3324D52029_4141.jpg;#;59,95;39;#D7D2CF;;NULL;NULL;NULL;1;NULL;NULL;NULL;NULL;1;NULL;snow_essentials;28;NULL;NULL;1
15;Lanar;Dames fleece;REGATTA;REGATTA_LANAR_3124D52020_1212.jpg;#;59,95;39;#000000 #6C5352;;NULL;NULL;1;NULL;NULL;NULL;NULL;NULL;1;NULL;snow_essentials;31;NULL;NULL;1
