id,"productnaam","productomschrijving","merk","img","link","oudeprijs","nieuweprijs","kleur","specialeactie",exclusief,uitverkocht,dames,heren,junior,gadgets1,gadgets2,bike,travel,winter,"categorie",volgorde,actie,binnenkort,groeneprijs
1,"Merino Hiker","Heren Kousen","BRIDGEDALE","BRIDGEDALE_MERINO_3411d40002_7272_01.jpg","/index.cfm/fuseaction/products.search/?searchvalue=kous+merino+hiker","","19,95","3411d40002_6262_01.jpg 3411d40002_7272_01.jpg","2 + 1 Gratis",1,NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",6,NULL,NULL,NULL
2,"Merino Hiker","Dames Kousen","BRIDGEDALE","BRIDGEDALE_MERINO-HIKER_3211D52003_7390.jpg","/index.cfm/fuseaction/products.search/?searchvalue=kous+merino+hiker","","19,95","","2 + 1 Gratis",1,NULL,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",8,NULL,NULL,NULL
3,"Trailrider Texapore","Dames schoen","JACK WOLFSKIN","JACK-WOLFSKIN_TRAILRIDER-TEXAPORE-WOMEN_3716D52001_6090.jpg","#","124,95","89","","",NULL,NULL,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",9,NULL,NULL,1
4,"Trailrider Texapore","Heren schoen","JACK WOLFSKIN","JACK-WOLFSKIN_TRAILRIDER-TEXAPORE-MEN_3726D52001_7070.jpg","#","124,95","89","","",NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",7,NULL,NULL,1
5,"Arco","Heren fleece","JACK WOLFSKIN","2.ONLINE-BANNER1-870x118.png","/jack-wolfskin-fleece-arco-3321d32016?id_colour=2296","69,95","39","","",NULL,NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",13,NULL,NULL,1
6,"Nordfjord","Heren Jas","JACK WOLFSKIN","JACK_WOLFSKIN_NORDFJORD_3352D52005_4242.jpg","#","159,95","119","#000000","",NULL,NULL,NULL,8,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",16,NULL,NULL,1
7,"5th Avenue","Dames jas","JACK WOLFSKIN","JACK-WOLFSKIN_5TH-AVENUE_31B3D40003.jpg","/jack-wolfskin-jas-5th-avenue-dames-3153d42040?id_colour=4168","259,95","179","","",NULL,NULL,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",19,NULL,NULL,1
8,"Greta","Parka","DIDRIKSONS","DIDRIKSONS_GRETA_3153D32029_7070.jpg","/didriksons-1913-jas-greta-3153d52016?id_colour=4168","329,95","199","","",NULL,NULL,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",22,NULL,NULL,1
9,"Roverg","Heren fleece","REGATTA","REGATTA_ROVERG_3324D52028_6262.jpg","#","59,95","39","#000000","",NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",25,NULL,NULL,1
10,"Tevorg","Heren fleece","REGATTA","REGATTA_TEVORG_3324D52029_7575.jpg","#","59,95","39","#324B73","",NULL,NULL,NULL,11,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",5,NULL,NULL,1
11,"Lanar","Dames fleece","REGATTA","REGATTA_LANAR_3124D52020_1212.jpg","#","59,95","39","#000000 #6C5352","",NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",31,NULL,NULL,1
12,"Edge touring","Fietsgps","GARMIN","edge_touring.jpg","/garmin-edge-touring-gps-2522d32003?id_colour=5806","","169","","",NULL,NULL,1,1,1,NULL,NULL,1,NULL,NULL,"deals_for_wheels",34,NULL,NULL,NULL
13,"Knitted Nordic","Heren pull","CMP","CMP_KNITTED-NORDIC-PULL_6221D52002_4403.jpg","#","109,95","79","","",1,NULL,NULL,2,NULL,NULL,NULL,NULL,NULL,NULL,"great_outdoors",1,NULL,NULL,1
